2026-02-20 07:14:11.957: [INFO] VisibilityChanged: 0
2026-02-20 07:14:11.993: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:11.994: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:11.995: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:11.996: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:11.997: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:11.998: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:11.999: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:12.000: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:12.001: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:12.002: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:12.002: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:12.003: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:12.015: [INFO] BookmarkModelLoaded, ids_reassigned: 0
2026-02-20 07:14:12.015: [INFO] OnDoneLoading sync enabled: 0
2026-02-20 07:14:12.053: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:12.658: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-02-20 07:14:12.663: [INFO] Primary account changed.
2026-02-20 07:14:12.663: [INFO] OnPrimaryAccountChanged PrimaryAccountChangeEvent::Type::kSet
2026-02-20 07:14:12.665: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-02-20 07:14:17.038: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.038: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.038: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.039: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.039: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.040: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.040: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.040: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.041: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.041: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.041: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.042: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.042: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.042: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.043: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.043: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.043: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.044: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.044: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.044: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.045: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.045: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.045: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.045: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.046: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.046: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.046: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.047: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.047: [INFO] BookmarkNodeAdded, ABU: 0
